"Subject","Q1.a","Q1.b","Q1.c","Q1.d","Q1.e","Q2.a","Q2.b","Q2.c","Q2.d","Q2.e","Q2.f","Q2.g","Q2.h","Suspected","Game.affect.distraction","Surprise","Station","Condition","Game.1","Game.2","Game.3","Game.4","Game.5","Game.6","RA","goodSession","Date","Time","Assignment","irritated","happy","angered","helpful","pleased","annoyed","easy.nav","excited","engaged","challenging","stressful","violence","diff.nav","reflexes","satisfying","effective","difficult","good.fight","hard.control","mental.effort","comfort.control","exhausting","aggressed","enjoyed","often.played","FPS.experience","FPS.skill","mkb.experience","vg.freq","vg.cumul","age","race","race2","year","GPA","knew.others","knew.partner","gender","rating1","rating2","rating3","rating4","rating5","rating6","L_ring_length","L_ring_angle","L_index_length","L_index_angle","R_index_length","R_index_angle","R_ring_length","R_ring_angle","datetime","n","session","prev_sesh_time","prev_sesh_n","cooldown","warm_pitcher","DV","Violence","Difficulty","L2d4d","R2d4d"
"4",1,0,0,0,0,1,0,0,0,1,0,1,0,3,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,4,7,4,7,4,4,3,1,4,1,1,6,7,3,3,2,2,7,1,4,6,1,7,1,5,4,6,18,5,NA,1,3.69,"No","No","M",NA,NA,NA,NA,NA,NA,865.75,88.3,885.05,77.635,886.95,79.115,860.2,87.075,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.02229280970257,1.03109741920484
"17",1,0,0,1,0,1,0,0,0,0,0,0,0,3,"Maybe","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,2,3,3,2,6,7,4,6,1,1,6,1,2,7,6,1,1,4,2,7,1,5,6,2,3,4,3,1,3,18,5,2,1,3.6,"No","No","M",8,6,7,10,8,8,929,83.79,899.75,88.73,899.35,87.48,931.75,80.33,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.968514531754575,0.965226723906627
"35",1,0,1,0,1,1,1,0,0,0,0,1,0,3,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,4,3,4,4,3,7,3,3,2,2,3,2,2,3,5,3,2,2,3,6,2,2,4,2,6,6,6,6,6,19,5,NA,1,3.8,"No","No","M",7,2,3,8,3,4,936.8,88.625,939.7,77.745,914.9,82.465,899.2,87.795,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1.00309564474808,1.01745996441281
"117",0,0,1,0,0,0,0,0,0,0,1,1,0,5,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2,5,3,3,5,7,5,6,3,2,7,2,5,7,7,3,5,2,6,6,2,3,5,5,6,5,3,4,4,18,5,NA,1,3,"No","No","M",4,-4,3,5,5,6,977.8,83.0666666666667,913.233333333333,88.6833333333333,905.533333333333,88.88,967.866666666667,84.11,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0.933967409831594,0.93559718969555
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,338,11,1700,40,0,"Melissa","Yes","2014-11-21","1899-12-31 15:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,4,4,6,879.4,85.2366666666667,802.833333333333,85.2633333333333,822.033333333333,84.37,872.3,83.8166666666667,2014-11-21 15:30:00,2,206,2014-11-20 17:10:00,2,1340,0,NA,"Violent","Easy",0.912933060419983,0.942374565325385
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0,244,22,0,243,0,"MN","Yes","2014-11-21","1899-12-31 16:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,7,4,6,927.266666666667,83.0633333333333,898.4,89.2366666666667,901.8,87.6233333333333,902,81.77,2014-11-21 16:30:00,2,207,2014-11-21 15:30:00,2,60,1,NA,"Less Violent","Easy",0.96886907757567,0.999778270509978
"178",0,0,1,0,0,0,1,0,0,0,0,0,0,4,"No","No",4,2,3,340,7,1365,96,106,"DT","No","2014-12-04","1899-12-31 16:15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-5,0,8,-5,0,1001.76666666667,85.76,928.033333333333,81.7166666666667,934.8,83.4266666666667,986.233333333333,87.5566666666667,2014-12-04 16:10:00,1,225,2014-12-04 15:10:00,2,60,1,NA,"Violent","Hard",0.926396699164805,0.947848717342076
"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,344,11,769,157,80,"DT","Yes","2014-02-18","1899-12-31 18:15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,8,5,7,927,87.34,882.533333333333,84.6366666666667,899.933333333333,79.6733333333333,932.033333333333,89.5066666666667,2014-02-18 18:10:00,1,61,2014-02-18 16:00:00,1,130,0,NA,"Violent","Hard",0.952031643293779,0.965559171703444
"188",1,1,0,0,0,0,0,1,0,0,0,0,0,4,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,6,1,1,6,7,7,7,5,5,5,1,6,6,7,4,3,3,3,6,4,5,7,5,5,2,7,2,4,18,6,NA,1,4,"No","No","M",2,-8,0,3,1,0,874.433333333333,83.24,848.533333333333,70.8933333333333,828.833333333333,78.4433333333333,875.066666666667,89.3866666666667,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.970380818053597,0.94716593021484
"203",0,0,0,1,0,1,0,0,0,0,1,0,0,3,"No","Yes",4,3,0,328,10,921,127,0,"DT","Yes","2014-03-04","1899-12-31 19:15:00",NA,6,1,7,4,3,7,6,4,2,2,3,4,4,3,4,5,6,4,5,4,5,7,2,4,2,6,5,7,4,5,19,6,NA,1,3.7,"No","No","M",10,10,9,9,10,10,849.266666666667,88.6966666666667,805.6,77.4533333333333,795.6,81.74,843.066666666667,89.3866666666667,2014-03-04 19:10:00,1,73,2014-03-04 16:00:00,1,190,0,NA,"Less Violent","Easy",0.94858309129445,0.943697611893088
