"Subno"	"L2d4d"	"R2d4d"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_ring_length"	"R_ring_angle"	"R_index_length"	"R_index_angle"	"notes"	"coder"
1	0.959378079491952	0.962846959714872	913.3	88.62	876.2	85.09	925.9	87.46	891.5	86.72	"NA"	"Julian"
2	0.920226130653266	0.899063689680008	955.2	88.98	879	76.58	971.9	87.52	873.8	74.74	"NA"	"Julian"
3	0.967241012550521	0.967859438611528	940.2	87.07	909.4	79.8	933.4	86.87	903.4	81.28	"NA"	"Julian"
4	1.01465872652313	1.01575074729823	873.2	88.2	886	77.22	869.8	86.31	883.5	79.24	"NA"	"Julian"
5	1.01121495327103	0.994408945686901	856	89.93	865.6	79.82	876.4	86.73	871.5	78.82	"NA"	"Julian"
6	0.994397451389652	0.95134414574539	910.3	88.62	905.2	87.02	900.2	88.73	856.4	86.72	"NA"	"Julian"
7	0.966316025067144	0.941019955654102	893.6	87.88	863.5	85.62	902	82.87	848.8	71.95	"NA"	"Julian"
9	0.941086457536343	0.957871396895787	914.9	82.46	861	83.8	902	89.87	864	89.6	"NA"	"Julian"
10	0.937802197802198	0.939364356220848	910	87.35	853.4	88.25	921.9	82.02	866	89.67	"NA"	"Julian"
11	0.926873275313097	0.936794344201752	942.2	86.04	873.3	85.8	947.7	87.82	887.8	87.61	"NA"	"Julian"
12	0.968520220588235	0.973732718894009	870.4	85.78	843	89.73	868	83.85	845.2	88.78	"NA"	"Julian"
13	0.972574850299401	0.962858153519632	835	83.12	812.1	88.94	848.1	85.13	816.6	87.82	"NA"	"Julian"
14	0.911433172302738	0.906589595375723	869.4	86.74	792.4	79.46	865	85.23	784.2	77.63	"NA"	"Julian"
15	0.950840579710145	0.902690829214717	862.5	85.68	820.1	81.45	910.5	88.05	821.9	84.41	"NA"	"Julian"
16	1.00303383897316	0.994672843080486	857	89.53	859.6	78.39	863.5	82.95	858.9	76.74	"NA"	"Julian"
17	0.965113782739373	0.958792679011024	931.6	83.16	899.1	89.11	934.3	80.33	895.8	87.5	"NA"	"Julian"
18	0.985921889191644	0.915449566408033	880.8	79.47	868.4	88.35	876.4	88.3	802.3	84.06	"NA"	"Julian"
19	0.992748783513024	0.977180191269766	1048.1	89.4	1040.5	73.18	1056.1	80.3	1032	83.83	"NA"	"Julian"
20	1.01837655016911	1.00941281936351	887	89.48	903.3	82.24	892.4	88.33	900.8	84.71	"NA"	"Julian"
21	0.933795322361094	0.920931360659714	808.1	89.01	754.6	80.39	824.6	85.41	759.4	76.06	"NA"	"Julian"
22	0.946476170167395	0.957071848169905	937.9	87.49	887.7	82.95	885.2	85.98	847.2	84.31	"NA"	"Julian"
23	0.977216886307795	0.972736231249316	895.4	88.27	875	81.32	913.3	85.1	888.4	85.8	"NA"	"Julian"
24	0.94685534591195	0.945383347073372	954	84.1	903.3	83.77	970.4	88.41	917.4	78.81	"NA"	"Julian"
25	1.00433266406002	1.01293717794102	946.3	86.97	950.4	86.92	912.1	89.31	923.9	84.1	"NA"	"Julian"
26	0.925	0.901973066082055	932	85.38	862.1	89.27	957.9	86.3	864	87.21	"NA"	"Julian"
27	0.973931674800619	0.951398601398601	840.1	85.97	818.2	76.93	858	87.26	816.3	69.79	"NA"	"Julian"
28	0.929913125146748	0.989916594049546	851.8	82.24	792.1	81.29	803.3	84.79	795.2	79.93	"NA"	"Julian"
29	0.955555555555556	0.938620689655172	864	89.87	825.6	84.65	870	86.11	816.6	82.68	"NA"	"Julian"
30	0.982321041214751	0.968574514038877	922	89.44	905.7	82.07	926	89.51	896.9	86.23	"NA"	"Julian"
31	0.924574492888785	0.980049261083744	857.8	86.32	793.1	73.9	812	89.65	795.8	75.37	"NA"	"Julian"
32	0.95712605581097	0.947619564038607	935.3	88.47	895.2	76.37	922.1	87.14	873.8	80.98	"NA"	"Julian"
33	0.916860465116279	1.01757066462949	860	83.26	788.5	87.89	785.4	85.55	799.2	86.84	"NA"	"Julian"
34	0.926658767772512	0.949792776791001	844	84.42	782.1	88.9	844.5	88.1	802.1	84.28	"NA"	"Julian"
35	1.00535733419051	1.04258963233615	933.3	88.59	938.3	77.64	875.8	87.58	913.1	82.83	"NA"	"Julian"
36	0.941385231825987	0.931740614334471	873.5	85.67	822.3	86.72	879	89.67	819	83.06	"NA"	"Julian"
37	0.993446628901477	0.97521230204269	900.3	88.54	894.4	88.21	871.4	88.36	849.8	86.22	"NA"	"Julian"
38	0.960655737704918	0.958290946083418	976	89.65	937.6	81.78	983	83.69	942	89.76	"NA"	"Julian"
39	0.936694924584388	0.937555163283319	908.3	88.49	850.8	87.51	906.4	88.36	849.8	82.22	"Left index finger distorted"	"Julian"
40	0.971783047870004	0.931835047174812	910.8	84.14	885.1	89.22	943.3	82.37	879	90	"NA"	"Julian"
41	0.994850669412976	1.00085535069378	1068.1	77.56	1062.6	88.06	1052.2	86.02	1053.1	83.35	"NA"	"Julian"
42	0.974080902288255	0.992164859933455	922.1	89.13	898.2	88.5	931.7	86.55	924.4	88.3	"NA"	"Julian"
43	0.949661294090166	0.946929316338355	856.2	86.99	813.1	89.3	863	87.21	817.2	83.54	"NA"	"Julian"
