"Subject"	"X1.a_Debrief"	"X1.b_Debrief"	"X1.c_Debrief"	"X1.d_Debrief"	"X1.e_Debrief"	"X2.a_Debrief"	"X2.b_Debrief"	"X2.c_Debrief"	"X2.d_Debrief"	"X2.e_Debrief"	"X2.f_Debrief"	"X2.g_Debrief"	"X2.h_Debrief"	"Game.play.affect.distraction.time_Debrief"	"Surprise_Debrief"	"Suspected_Debrief"	"Entrant_Debrief"	"Entrant_Distraction_Assignment"	"Entrant_Note_sheet"	"Entrant_Post-Questionnaire"	"Entrant_Writing_Task_Evaluation"	"Assignment_Distraction_Assignment"	"Date_Note_sheet"	"Time_Note_sheet"	"RA_Note_sheet"	"Station_Note_sheet"	"Condition_Note_sheet"	"Game.1_Note_sheet"	"Game.2_Note_sheet"	"Game.3_Note_sheet"	"Game.4_Note_sheet"	"Game.5_Note_sheet"	"Game.6_Note_sheet"	"Good.Session_Note_sheet"	"irritated_Post-Questionnaire"	"happy_Post-Questionnaire"	"angered_Post-Questionnaire"	"helpful_Post-Questionnaire"	"pleased_Post-Questionnaire"	"annoyed_Post-Questionnaire"	"knew.others_Post-Questionnaire"	"knew.partner_Post-Questionnaire"	"easy.nav_Post-Questionnaire"	"excited_Post-Questionnaire"	"engaged_Post-Questionnaire"	"challenging_Post-Questionnaire"	"stressful_Post-Questionnaire"	"violence_Post-Questionnaire"	"diff.nav_Post-Questionnaire"	"reflexes_Post-Questionnaire"	"satisfying_Post-Questionnaire"	"effective_Post-Questionnaire"	"difficult_Post-Questionnaire"	"good.fight_Post-Questionnaire"	"hard.control_Post-Questionnaire"	"mental.effort_Post-Questionnaire"	"comfort.control_Post-Questionnaire"	"exhausting_Post-Questionnaire"	"aggressed_Post-Questionnaire"	"enjoyed_Post-Questionnaire"	"often.played_Post-Questionnaire"	"FPS.experience_Post-Questionnaire"	"FPS.skill_Post-Questionnaire"	"mkb.experience_Post-Questionnaire"	"vg.freq_Post-Questionnaire"	"vg.cumul_Post-Questionnaire"	"gender_Post-Questionnaire"	"age_Post-Questionnaire"	"race_Post-Questionnaire"	"year_Post-Questionnaire"	"GPA_Post-Questionnaire"	"A_Writing_Task_Evaluation"	"B_Writing_Task_Evaluation"	"C_Writing_Task_Evaluation"	"D_Writing_Task_Evaluation"	"E_Writing_Task_Evaluation"	"F_Writing_Task_Evaluation"	"L2d4d_"	"R2d4d_"	"L_ring_length_"	"L_ring_angle_"	"L_index_length_"	"L_index_angle_"	"R_index_length_"	"R_index_angle_"	"R_ring_length_"	"R_ring_angle_"	"nCoders_"	"Violence"	"Difficulty"
"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"3"	"AM"	"CH"	"AM"	"AM"	"CH"	"4"	"41541"	"0.708333333333333"	"Jimmy"	"4"	"1"	"0"	"508"	"17"	"1650"	"171"	"0"	"Maybe"	"5"	"2"	"4"	"4"	"2"	"5"	"Yes"	"No"	"7"	"4"	"5"	"3"	"3"	"4"	"1"	"1"	"4"	"5"	"1"	"1"	"1"	"4"	"6"	"3"	"4"	"4"	"4"	"5"	"4"	"5"	"3"	"4"	"M"	"19"	"5"	"2"	"3.9"	"good"	"fine"	"good"	"good"	"fine"	"fine"	"0.959378079491952"	"0.962846959714872"	"913.3"	"88.62"	"876.2"	"85.09"	"891.5"	"86.72"	"925.9"	"87.46"	"1"	"Violent"	"Easy"
"10"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"Yes"	"No"	"4"	"AM"	"CH"	"AM"	"AM"	NA	"4"	"41543"	"0.6875"	"SC"	"2"	"2"	"2"	"229"	"6"	"730"	"75"	"80"	"Yes"	"6"	"2"	"5"	"1"	"1"	"5"	"No"	"No"	"6"	"6"	"6"	"3"	"3"	"5"	"2"	"2"	"6"	"6"	"2"	"2"	"2"	"2"	"4"	"2"	"6"	"6"	"5"	"6"	"4"	"6"	"4"	"6"	"M"	"18"	"6 \"Asian\""	"1"	"3.83"	NA	NA	NA	NA	NA	NA	"0.937802197802198"	"0.939364356220848"	"910"	"87.35"	"853.4"	"88.25"	"866"	"89.67"	"921.9"	"82.02"	"1"	"Violent"	"Hard"
"100"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"Maybe"	"No"	"5"	"AM"	"CH"	"AM"	"CH"	"CH"	"1"	"41938"	"0.545833333333333"	"Mallory "	"2"	"4"	"0"	"348"	"11"	"1026"	"104"	"23"	"Maybe"	"1"	"4"	"1"	"1"	"1"	"1"	"No"	"No"	"7"	"3"	"6"	"1"	"1"	"1"	"1"	"1"	"5"	"6"	"1"	"4"	"1"	"1"	"7"	"1"	"1"	"5"	"3"	"7"	"5"	"7"	"7"	"7"	"M"	"18"	"5"	"1"	"3.4"	"8"	"-9"	"-8"	"10"	"-6"	"-3"	"0.929982440737489"	"0.939690664292867"	"911.2"	"87.76"	"847.4"	"77.875"	"844.5"	"74.055"	"898.7"	"82.74"	"1"	"Nonviolent"	"Hard"
"101"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Yes"	"4"	"AM"	"CH"	"AM"	"CH"	"CH"	"3"	"41938"	"0.583333333333333"	"Rachel Peterson"	"4"	"1"	"0"	"484"	"18"	"963"	"248"	"0"	"Yes"	"5"	"3"	"3"	"3"	"3"	"5"	"No"	"No"	"7"	"6"	"6"	"5"	"1"	"3"	"1"	"5"	"5"	"5"	"3"	"3"	"1"	"1"	"7"	"1"	"2"	"7"	"5"	"6"	"3"	"7"	"7"	"7"	"M"	"19"	"5"	"1"	"3.92"	"7"	"0"	"4"	"8"	"0"	"5"	"0.983962416977158"	"0.94665514821014"	"925.95"	"88.335"	"911.1"	"79.05"	"876.65"	"83.41"	"926.05"	"88.085"	"1"	"Violent"	"Easy"
"102"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"Maybe"	"No"	"2"	"AM"	"CH"	"AM"	"CH"	"CH"	"9"	"41938"	"?"	"Mallory "	"2"	"2"	"4"	"268"	"4"	"936"	"30"	"105"	"Yes"	"2"	"4"	"2"	"2"	"2"	"2"	"Yes"	"Yes"	"6"	"1"	"2"	"2"	"2"	"5"	"2"	"2"	"2"	"4"	"4"	"3"	"3"	"3"	"5"	"2"	"4"	"2"	"2"	"5"	"4"	"3"	"1"	"2"	"M"	"18"	"5"	"1"	"3.75"	"-10"	"-9"	"-9"	"-6"	"-3"	"-5"	"0.907227260236329"	"0.897918178266451"	"909.75"	"81.85"	"825.35"	"88.44"	"804.4"	"88.22"	"895.85"	"79.425"	"1"	"Violent"	"Hard"
"103"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"No"	"Maybe"	"2"	"AM"	"CH"	"AM"	"CH"	"CH"	"7"	"41940"	"0.708333333333333"	"Danielle"	"4"	"3"	"0"	"353"	"22"	"578"	"252"	"0"	"Yes"	"1"	"2"	"1"	"1"	"1"	"3"	"No"	"No"	"7"	"7"	"7"	"2"	"1"	"2"	"2"	"1"	"6"	"7"	"5"	"1"	"1"	"6"	"7"	"2"	"1"	"7"	"6"	"7"	"6"	"7"	"4"	"7"	"M"	"18"	"5"	"1"	"3"	"7"	"5"	"10"	"9"	"8"	"8"	"0.902664260694194"	"0.926340002139724"	"942.1"	"88.09"	"850.4"	"88.315"	"865.85"	"88.31"	"934.7"	"87.885"	"1"	"Nonviolent"	"Easy"
"104"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"No"	" Yes"	"4"	"AM"	"CH"	"AM"	"CH"	"CH"	"9"	" 10/28"	"0.708333333333333"	"JC"	"2"	"4"	"2"	"207"	"4"	"641"	"63"	"45"	"Yes"	"7"	"2"	"4"	"1"	"1"	"6"	" No"	"No"	"5"	"3"	"3"	"3"	"2"	"2"	"2"	"5"	"4"	"4"	"3"	"4"	"5"	"4"	"5"	"3"	"3"	"3"	"3"	"3"	"1"	"1"	"1"	"1"	"M"	"18"	"5"	"1"	"3.6"	"1"	"-1"	"0"	"4"	"-5"	"-2"	"0.878677090949997"	"0.863377300113988"	"888.95"	"88.195"	"781.1"	"82.015"	"795.3"	"83.685"	"921.15"	"87.915"	"1"	"Nonviolent"	"Hard"
"105"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"Maybe"	"Yes"	"2"	"AM"	"CH"	"AM"	"CH"	"CH"	"6"	"41940"	"0.75"	"Danielle"	"4"	"1"	"0"	"591"	"22"	"1794"	"244"	"0"	"Yes"	"7"	"1"	"4"	"1"	"1"	"7"	"No"	"No"	"7"	"7"	"7"	"1"	"1"	"7"	"1"	"1"	"5"	"7"	"1"	"2"	"1"	"1"	"1"	"1"	"6"	"6"	"3"	"7"	"7"	"7"	"5"	"7"	"M"	"19"	"5"	"2"	"2.5"	"0"	"3"	"-5"	"3"	"-5"	"-7"	"0.951911748955767"	"0.952540903673204"	"933.7"	"88.745"	"888.8"	"86.45"	"879.1"	"85.6"	"922.9"	"88.415"	"1"	"Violent"	"Easy"
"106"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Maybe"	"4"	"AM"	"CH"	"AM"	"CH"	"CH"	"6"	"41940"	"0.75"	"JC"	"2"	"2"	"1"	"338"	"11"	"1311"	"106"	"69"	"Yes"	"7"	"2"	"4"	"1"	"1"	"6"	"No"	"No"	"7"	"7"	"6"	"1"	"1"	"5"	"2"	"3"	"5"	"5"	"2"	"2"	"1"	"1"	"6"	"1"	"1"	"4"	"3"	"6"	"6"	"7"	"5"	"6"	"M"	"18"	"5"	"1"	"3.9"	"8"	"8"	"5"	"10"	"3"	"7"	"0.944118734484762"	"0.930984380675627"	"946.65"	"86.605"	"893.75"	"85.12"	"897.05"	"85.72"	"963.55"	"88.245"	"1"	"Violent"	"Hard"
"107"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Yes"	"2"	"AM"	"CH"	"AM"	"CH"	"CH"	"6"	"41941"	"0.708333333333333"	"Mallory "	"2"	"3"	"0"	"343"	"11"	"1083"	"120"	"0"	"Yes"	"4"	"5"	"4"	"3"	"3"	"4"	"No"	"No"	"7"	"4"	"5"	"1"	"1"	"2"	"1"	"1"	"4"	"5"	"1"	"1"	"1"	"1"	"6"	"1"	"1"	"5"	"5"	"7"	"6"	"7"	"5"	"7"	"M"	"18"	"5"	"1"	"3.3"	"6"	"5"	"6"	"7"	"8"	"80"	"0.922414272216973"	"0.942652531859705"	"899.65"	"84.16"	"829.85"	"79.695"	"835.85"	"74.775"	"886.7"	"78.065"	"1"	"Nonviolent"	"Easy"
