"Subject"	"1.a"	"1.b"	"1.c"	"1.d"	"1.e"	"2.a"	"2.b"	"2.c"	"2.d"	"2.e"	"2.f"	"2.g"	"2.h"	"Game.affect.distraction"	"Surprise"	"Suspected"	"Why "	"Entrant"	"Assignment"	"Entrant"	"Date"	"Time"	"RA"	"Station"	"Condition"	"Game.1"	"Game.2"	"Game.3"	"Game.4"	"Game.5"	"Game.6"	"Good.Session"	"Notes"	"Entrant"	"irritated"	"happy"	"angered"	"helpful"	"pleased"	"annoyed"	"knew.others"	"knew.partner"	"easy.nav"	"excited"	"engaged"	"challenging"	"stressful"	"violence"	"diff.nav"	"reflexes"	"satisfying"	"effective"	"difficult"	"good.fight"	"hard.control"	"mental.effort"	"comfort.control"	"exhausting"	"aggressed"	"enjoyed"	"often.played"	"FPS.experience"	"FPS.skill"	"mkb.experience"	"vg.freq"	"vg.cumul"	"gender"	"age"	"race"	"year"	"GPA"	"Entrant"	"A"	"B"	"C"	"D"	"E"	"F"	"Entrant"	"L2d4d"	"R2d4d"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_ring_length"	"R_ring_angle"	"R_index_length"	"R_index_angle"	"notes"	"coder"	"Violence"	"Difficulty"
"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"3"	"To guage how strict of concequences were selected in relationship to reviewers criticism. (for number 1, wrote in \"Studying what kind of punishments someone chooses for someone after receiving critism from them.\""	"AM"	"4"	"CH"	"41541"	"0.70833333333333337"	"Jimmy"	"4"	"1"	"0"	"508"	"17"	"1650"	"171"	"0"	"Maybe"	"Suspected fake insult, study of criticism & reactance"	"AM"	"5"	"2"	"4"	"4"	"2"	"5"	"Yes"	"No"	"7"	"4"	"5"	"3"	"3"	"4"	"1"	"1"	"4"	"5"	"1"	"1"	"1"	"4"	"6"	"3"	"4"	"4"	"4"	"5"	"4"	"5"	"3"	"4"	"M"	"19"	"5"	"2"	"3.9"	"AM"	"good"	"fine"	"good"	"good"	"fine"	"fine"	"CH"	"0.959378079491952"	"0.962846959714872"	"913.3"	"88.62"	"876.2"	"85.09"	"925.9"	"87.46"	"891.5"	"86.72"	NA	"Julian"	"Violent"	"Easy"
"10"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"Yes"	"No"	"4"	"See how much influence the video game has."	"AM"	"4"	"CH"	"41543"	"0.6875"	"SC"	"2"	"2"	"2"	"229"	"6"	"730"	"75"	"80"	"Yes"	NA	"AM"	"6"	"2"	"5"	"1"	"1"	"5"	"No"	"No"	"6"	"6"	"6"	"3"	"3"	"5"	"2"	"2"	"6"	"6"	"2"	"2"	"2"	"2"	"4"	"2"	"6"	"6"	"5"	"6"	"4"	"6"	"4"	"6"	"M"	"18"	"6 \"Asian\""	"1"	"3.83"	"AM"	NA	NA	NA	NA	NA	NA	NA	"0.937802197802198"	"0.939364356220848"	"910"	"87.35"	"853.4"	"88.25"	"921.9"	"82.02"	"866"	"89.67"	NA	"Julian"	"Violent"	"Hard"
"100"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"Maybe"	"No"	"5"	"To punish the other for giving a bad review of our essays "	"AM"	"1"	"CH"	"41938"	"0.54583333333333328"	"Mallory "	"2"	"4"	"0"	"348"	"11"	"1026"	"104"	"23"	"Maybe"	"Felt like we were trying to insult him on purpose"	"AM"	"1"	"4"	"1"	"1"	"1"	"1"	"No"	"No"	"7"	"3"	"6"	"1"	"1"	"1"	"1"	"1"	"5"	"6"	"1"	"4"	"1"	"1"	"7"	"1"	"1"	"5"	"3"	"7"	"5"	"7"	"7"	"7"	"M"	"18"	"5"	"1"	"3.4"	"CH"	"8"	"-9"	"-8"	"10"	"-6"	"-3"	"CH"	"0.930408748520408"	"0.940278056990278"	"911.2"	"87.76"	"847.4"	"77.875"	"898.7"	"82.74"	"844.5"	"74.055"	"NA, NA"	"Julian, Rachel"	"Nonviolent"	"Hard"
"101"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Yes"	"4"	"To gauge how the aggression from the video game and the difference in opinions of the subjects affected how much punishment would be doled out."	"AM"	"3"	"CH"	"41938"	"0.58333333333333337"	"Rachel Peterson"	"4"	"1"	"0"	"484"	"18"	"963"	"248"	"0"	"Yes"	"Thought it was about exactly what we said it was about"	"AM"	"5"	"3"	"3"	"3"	"3"	"5"	"No"	"No"	"7"	"6"	"6"	"5"	"1"	"3"	"1"	"5"	"5"	"5"	"3"	"3"	"1"	"1"	"7"	"1"	"2"	"7"	"5"	"6"	"3"	"7"	"7"	"7"	"M"	"19"	"5"	"1"	"3.92"	"CH"	"7"	"0"	"4"	"8"	"0"	"5"	"CH"	"0.984004473662331"	"0.94666039345722"	"925.95"	"88.335"	"911.1"	"79.05"	"926.05"	"88.085"	"876.65"	"83.41"	"NA, NA"	"Julian, Rachel"	"Violent"	"Easy"
"102"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"Maybe"	"No"	"2"	"To see how aggressive we felt towards the other person"	"AM"	"9"	"CH"	"41938"	"?"	"Mallory "	"2"	"2"	"4"	"268"	"4"	"936"	"30"	"105"	"Yes"	"Didn't see how essay and game were correlated. Also, participants were acquaintents, not friends though. "	"AM"	"2"	"4"	"2"	"2"	"2"	"2"	"Yes"	"Yes"	"6"	"1"	"2"	"2"	"2"	"5"	"2"	"2"	"2"	"4"	"4"	"3"	"3"	"3"	"5"	"2"	"4"	"2"	"2"	"5"	"4"	"3"	"1"	"2"	"M"	"18"	"5"	"1"	"3.75"	"CH"	"-10"	"-9"	"-9"	"-6"	"-3"	"-5"	"CH"	"0.907228406156077"	"0.897936737644468"	"909.75"	"81.85"	"825.35"	"88.44"	"895.85"	"79.425"	"804.4"	"88.22"	"NA, NA"	"Julian, Rachel"	"Violent"	"Hard"
"103"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"No"	"Maybe"	"2"	"To see if we had built up anger against the other person"	"AM"	"7"	"CH"	"41940"	"0.70833333333333337"	"Danielle"	"4"	"3"	"0"	"353"	"22"	"578"	"252"	"0"	"Yes"	NA	"AM"	"1"	"2"	"1"	"1"	"1"	"3"	"No"	"No"	"7"	"7"	"7"	"2"	"1"	"2"	"2"	"1"	"6"	"7"	"5"	"1"	"1"	"6"	"7"	"2"	"1"	"7"	"6"	"7"	"6"	"7"	"4"	"7"	"M"	"18"	"5"	"1"	"3"	"CH"	"7"	"5"	"10"	"9"	"8"	"8"	"CH"	"0.902732715055557"	"0.926347345649414"	"942.1"	"88.09"	"850.4"	"88.315"	"934.7"	"87.885"	"865.85"	"88.31"	"NA, NA"	"Julian, Rachel"	"Nonviolent"	"Easy"
"104"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"No"	" Yes"	"4"	"Because we were frustrated with each other from the essays"	"AM"	"9"	"CH"	" 10/28"	"0.70833333333333337"	"JC"	"2"	"4"	"2"	"207"	"4"	"641"	"63"	"45"	"Yes"	NA	"AM"	"7"	"2"	"4"	"1"	"1"	"6"	" No"	"No"	"5"	"3"	"3"	"3"	"2"	"2"	"2"	"5"	"4"	"4"	"3"	"4"	"5"	"4"	"5"	"3"	"3"	"3"	"3"	"3"	"1"	"1"	"1"	"1"	"M"	"18"	"5"	"1"	"3.6"	"CH"	"1"	"-1"	"0"	"4"	"-5"	"-2"	"CH"	"0.87867798010402"	"0.863378969110131"	"888.95"	"88.195"	"781.1"	"82.015"	"921.15"	"87.915"	"795.3"	"83.685"	"NA, NA"	"Julian, Rachel"	"Nonviolent"	"Hard"
"105"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"Maybe"	"Yes"	"2"	"To see how we reacted to the evaluation of our essays"	"AM"	"6"	"CH"	"41940"	"0.75"	"Danielle"	"4"	"1"	"0"	"591"	"22"	"1794"	"244"	"0"	"Yes"	NA	"AM"	"7"	"1"	"4"	"1"	"1"	"7"	"No"	"No"	"7"	"7"	"7"	"1"	"1"	"7"	"1"	"1"	"5"	"7"	"1"	"2"	"1"	"1"	"1"	"1"	"6"	"6"	"3"	"7"	"7"	"7"	"5"	"7"	"M"	"19"	"5"	"2"	"2.5"	"CH"	"0"	"3"	"-5"	"3"	"-5"	"-7"	"CH"	"0.951930269224712"	"0.952542115781821"	"933.7"	"88.745"	"888.8"	"86.45"	"922.9"	"88.415"	"879.1"	"85.6"	"NA, NA"	"Julian, Rachel"	"Violent"	"Easy"
"106"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Maybe"	"4"	"See what we thought of each others evaluation"	"AM"	"6"	"CH"	"41940"	"0.75"	"JC"	"2"	"2"	"1"	"338"	"11"	"1311"	"106"	"69"	"Yes"	"Thought we were interested in seing how he responded to his partner's feedback but he believed he was paired with the other participant"	"AM"	"7"	"2"	"4"	"1"	"1"	"6"	"No"	"No"	"7"	"7"	"6"	"1"	"1"	"5"	"2"	"3"	"5"	"5"	"2"	"2"	"1"	"1"	"6"	"1"	"1"	"4"	"3"	"6"	"6"	"7"	"5"	"6"	"M"	"18"	"5"	"1"	"3.9"	"CH"	"8"	"8"	"5"	"10"	"3"	"7"	"CH"	"0.944121010418266"	"0.931036387944598"	"946.65"	"86.605"	"893.75"	"85.12"	"963.55"	"88.245"	"897.05"	"85.72"	"NA, NA"	"Julian, Rachel"	"Violent"	"Hard"
"107"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Yes"	"2"	"Seeing how two strangers would act in assigning distraction"	"AM"	"6"	"CH"	"41941"	"0.70833333333333337"	"Mallory "	"2"	"3"	"0"	"343"	"11"	"1083"	"120"	"0"	"Yes"	"Nothing suspicious"	"AM"	"4"	"5"	"4"	"3"	"3"	"4"	"No"	"No"	"7"	"4"	"5"	"1"	"1"	"2"	"1"	"1"	"4"	"5"	"1"	"1"	"1"	"1"	"6"	"1"	"1"	"5"	"5"	"7"	"6"	"7"	"5"	"7"	"M"	"18"	"5"	"1"	"3.3"	"CH"	"6"	"5"	"6"	"7"	"8"	"80"	"CH"	"0.922421236757044"	"0.942963490134791"	"899.65"	"84.16"	"829.85"	"79.695"	"886.7"	"78.065"	"835.85"	"74.775"	"NA, NA"	"Julian, Rachel"	"Nonviolent"	"Easy"
